,location,carpet_area,status,transaction,urnishing,society,bathroom,amount
126,3 BHK Apartment for Sale in Kharadi Pune,1250 sqft,Under ConstructionPoss. by Dec '26,TransactionNew Property,FurnishingUnfurnished,,Bathroom3,₹1.31 Cr 
127,"2 BHK Apartment for Sale in VTP Euphoria, Kharadi Pune",855 sqft,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingUnfurnished,SocietyVTP Euphoria,Bathroom2,₹89.8 Lac 
128,"2 BHK Apartment for Sale in VTP Dolce Vita, Kharadi Pune",756 sqft,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingUnfurnished,SocietyVTP Dolce Vita,Bathroom2,₹74.5 Lac 
129,"2 BHK Apartment for Sale in Pristine Allure, Kharadi Pune",746 sqft,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingUnfurnished,SocietyPristine Allure,Bathroom2,₹77.8 Lac 
130,"3 BHK Apartment for Sale in VTP Dolce Vita, Kharadi Pune",1086 sqft,Under ConstructionPoss. by Dec '27,TransactionNew Property,FurnishingSemi-Furnished,SocietyVTP Dolce Vita,Bathroom3,₹1.07 Cr 
131,"3 BHK Apartment for Sale in Flamante By VTP Luxe Phase 1, Kharadi Pune",1229 sqft,Under ConstructionPoss. by Dec '27,TransactionNew Property,FurnishingUnfurnished,SocietyFlamante By VTP Luxe Phase 1,Bathroom3,₹99 Lac 
132,"3 BHK Apartment for Sale in Unique Youtopia, Kharadi Pune",1000 sqft,Under ConstructionPoss. by Dec '24,TransactionNew Property,FurnishingUnfurnished,SocietyUnique Youtopia,Bathroom3,₹99 Lac 
133,"2 BHK Apartment for Sale in EON Free Zone, Kharadi Pune",850 sqft,Under ConstructionPoss. by Mar '27,TransactionNew Property,FurnishingUnfurnished,,Bathroom2,₹93 Lac 
134,"3 BHK Apartment for Sale in Gulmohar Orchids, Kharadi Pune",1100 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyGulmohar Orchids,Bathroom3,₹1.20 Cr 
135,"2 BHK Apartment for Sale in Tanishq Apartment, EON Free Zone, Kharadi Pune",850 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyTanishq Apartment,Bathroom2,₹85 Lac 
136,"4 BHK Apartment for Sale in Ganga Platinum, Kharadi Pune",1958 sqft,Under ConstructionPoss. by Dec '26,TransactionNew Property,FurnishingUnfurnished,SocietyGanga Platinum,Bathroom4,₹2.94 Cr 
137,"2 BHK Apartment for Sale in Flamante By VTP Luxe Phase 1, Kharadi Pune",762 sqft,Under ConstructionPoss. by Mar '26,TransactionNew Property,FurnishingUnfurnished,SocietyFlamante By VTP Luxe Phase 1,Bathroom2,₹86 Lac 
138,"3 BHK Apartment for Sale in Marvel Citrine, Kharadi Pune",2300 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyMarvel Citrine,Bathroom4,₹1.85 Cr 
139,"2 BHK Apartment for Sale in Zen Estate, Kharadi Pune",740 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyZen Estate,Bathroom2,₹96 Lac 
140,"3 BHK Apartment for Sale in Marvel Zephyr, Kharadi Pune",1600 sqft,StatusReady to Move,TransactionResale,FurnishingFurnished,SocietyMarvel Zephyr,Bathroom3,₹2.75 Cr 
141,"3 BHK Apartment for Sale in Gera World of Joy, Kharadi Pune",1200 sqft,Under ConstructionPoss. by Aug '26,TransactionResale,FurnishingSemi-Furnished,SocietyGera World of Joy,Bathroom3,₹1.75 Cr 
142,"2 BHK Apartment for Sale in VTP Dolce Vita, EON Free Zone, Kharadi Pune",675 sqft,Under ConstructionPoss. by Mar '26,TransactionNew Property,FurnishingSemi-Furnished,SocietyVTP Dolce Vita,Bathroom2,₹72 Lac 
143,"2 BHK Apartment for Sale in Majestique Marbella, Ashoka Nagar, Kharadi Pune",824 sqft,Under ConstructionPoss. by Jun '25,TransactionNew Property,FurnishingUnfurnished,SocietyMajestique Marbella,Bathroom2,₹97 Lac 
144,"2 BHK Apartment for Sale in Pegasus, Kharadi Pune",750 sqft,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingUnfurnished,SocietyPegasus,Bathroom2,₹76 Lac 
145,"2 BHK Apartment for Sale in Riverdale Grove, Kharadi Pune",703 sqft,StatusReady to Move,TransactionNew Property,FurnishingUnfurnished,SocietyRiverdale Grove,Bathroom2,₹73 Lac 
146,"2 BHK Apartment for Sale in Vertillas, Kharadi Pune",1170 sqft,Under ConstructionPoss. by Jun '24,TransactionNew Property,FurnishingUnfurnished,SocietyVertillas,Bathroom2,₹1.19 Cr 
147,"3 BHK Apartment for Sale in Vertillas, EON Free Zone, Kharadi Pune",1555 sqft,Under ConstructionPoss. by Jun '24,TransactionNew Property,FurnishingUnfurnished,SocietyVertillas,Bathroom3,₹1.78 Cr 
148,"2 BHK Apartment for Sale in Vilas Javdekar, Kharadi Pune",810 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyVilas Javdekar,Bathroom2,₹1.02 Cr 
149,"3 BHK Apartment for Sale in Marvel Zephyr, EON Free Zone, Kharadi Pune",1700 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyMarvel Zephyr,Bathroom3,₹2.30 Cr 
150,"4 BHK Apartment for Sale in Panchshil Eon Free Zone, Kharadi Pune",2600 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyPanchshil Eon Free Zone,Bathroom5,₹4.70 Cr 
151,"4 BHK Penthouse for Sale in Marvel Zephyr, Kharadi Pune",3400 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyMarvel Zephyr,Bathroom5,₹4 Cr 
152,"3 BHK Apartment for Sale in Marvel Cerise, EON Free Zone, Kharadi Pune",1300 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyMarvel Cerise,Bathroom3,₹2.10 Cr 
153,"3 BHK Apartment for Sale in Marvel Zephyr, EON Free Zone, Kharadi Pune",1800 sqft,StatusReady to Move,TransactionResale,FurnishingFurnished,SocietyMarvel Zephyr,Bathroom3,₹2.30 Cr 
154,"3 BHK Apartment for Sale in Marvel Enigma, EON Free Zone, Kharadi Pune",1700 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyMarvel Enigma,Bathroom3,₹2.25 Cr 
155,"2 BHK Apartment for Sale in Majestique Towers, Ubale Nagar Pune",810 sqft,StatusReady to Move,TransactionNew Property,FurnishingUnfurnished,SocietyMajestique Towers,Bathroom2,₹1.05 Cr 
156,"3 BHK Apartment for Sale in Kolte Patil Tuscan Estate Signature Meadows, EON Free Zone, Kharadi Pune",1210 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyKolte Patil Tuscan Estate Signature Meadows,Bathroom3,₹1.80 Cr 
157,"2 BHK Apartment for Sale in Yashwin Orizzonte, Kharadi Pune",732 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyYashwin Orizzonte,Bathroom2,₹1 Cr 
158,"2 BHK Apartment for Sale in Vertillas, Kharadi Pune",1000 sqft,StatusReady to Move,TransactionNew Property,FurnishingSemi-Furnished,SocietyVertillas,Bathroom2,₹99 Lac 
159,"3 BHK Apartment for Sale in Kolte-Patil Tuscan Estate, EON Free Zone, Kharadi Pune",1250 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyKolte-Patil Tuscan Estate,Bathroom3,₹1.78 Cr 
160,"3 BHK Apartment for Sale in EON Free Zone, Kharadi Pune",1300 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,,Bathroom3,₹1.80 Cr 
161,"5 BHK Apartment for Sale in Panchshil Towers, Kharadi Pune",6117 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyPanchshil Towers,Bathroom6,₹8.70 Cr 
162,"4 BHK Apartment for Sale in Marvel Zephyr, Kharadi Pune",4355 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyMarvel Zephyr,Bathroom4,₹3.40 Cr 
163,"3 BHK Apartment for Sale in Gera World of Joy, Kharadi Pune",940 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyGera World of Joy,Bathroom3,₹1.45 Cr 
164,"2 BHK Apartment for Sale in Gera World of Joy, Kharadi Pune",1650 sqft,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingUnfurnished,SocietyGera World of Joy,Bathroom2,₹2.22 Cr 
165,"2 BHK Apartment for Sale in Kolte-Patil Tuscan Estate, Kharadi Pune",900 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyKolte-Patil Tuscan Estate,Bathroom2,₹1.65 Cr 
166,"4 BHK Apartment for Sale in Eon Waterfront, Kharadi Pune",4081 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyEon Waterfront,Bathroom4,₹4.50 Cr 
167,"3 BHK Apartment for Sale in Panchshil Towers, Kharadi Pune",2200 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyPanchshil Towers,Bathroom4,₹3.30 Cr 
168,"3 BHK Apartment for Sale in Sanaya Belvedere, Air Force Campus, Viman Nagar Pune",1800 sqft,StatusReady to Move,TransactionResale,FurnishingFurnished,SocietySanaya Belvedere,Bathroom3,₹2.30 Cr 
169,"2 BHK Apartment for Sale in Zen Estate, Kharadi Pune",745 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyZen Estate,Bathroom2,₹1 Cr 
170,"3 BHK Apartment for Sale in Kolte-Patil Tuscan Estate, Kharadi Pune",1400 sqft,StatusReady to Move,TransactionResale,FurnishingFurnished,SocietyKolte-Patil Tuscan Estate,Bathroom3,₹2 Cr 
171,"5 BHK Apartment for Sale in Eon Waterfront, EON Free Zone, Kharadi Pune",3100 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyEon Waterfront,Bathroom4,₹4.15 Cr 
172,"3 BHK Apartment for Sale in Panchshil Towers, Vitthal Nagar Kharadi Pune",2100 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyPanchshil Towers,Bathroom4,₹3.40 Cr 
173,"2 BHK Apartment for Sale in Gulmohar Goldcoast, Kharadi Pune",850 sqft,StatusReady to Move,TransactionResale,FurnishingFurnished,SocietyGulmohar Goldcoast,Bathroom2,₹78 Lac 
174,"4 BHK Apartment for Sale in Marvel Zephyr, Kharadi Pune",3455 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyMarvel Zephyr,Bathroom4,₹3.65 Cr 
175,"3 BHK Apartment for Sale in Gera Trinity Towers, Kharadi Pune",2000 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyGera Trinity Towers,Bathroom4,₹2.55 Cr 
176,"3 BHK Apartment for Sale in Marvel Enigma, Kharadi Pune",1890 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyMarvel Enigma,Bathroom5,₹2.30 Cr 
177,"3 BHK Penthouse for Sale in Kolte-Patil Tuscan Estate, Kharadi Pune",3400 sqft,StatusReady to Move,TransactionResale,FurnishingFurnished,SocietyKolte-Patil Tuscan Estate,Bathroom4,₹2.65 Cr 
178,"2 BHK Apartment for Sale in Gulmohar Goldcoast, Kharadi Pune",867 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyGulmohar Goldcoast,Bathroom2,₹83 Lac 
179,"3 BHK Apartment for Sale in Kolte-Patil Tuscan Estate, Kharadi Pune",1350 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyKolte-Patil Tuscan Estate,Bathroom2,₹1.85 Cr 
180,"5 BHK Apartment for Sale in Panchshil Towers, Kharadi Pune",2400 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyPanchshil Towers,Bathroom6,₹4.40 Cr 
181,3 BHK Apartment for Sale in Kharadi Pune,1300 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,,Bathroom3,₹1.45 Cr 
182,"2 BHK Apartment for Sale in Nyati Elysia, Kharadi Pune",808 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyNyati Elysia,Bathroom2,₹95 Lac 
183,"3 BHK Apartment for Sale in Gera World of Joy, Kharadi Pune",1200 sqft,StatusReady to Move,TransactionNew Property,FurnishingSemi-Furnished,SocietyGera World of Joy,Bathroom3,₹1.65 Cr 
184,"2 BHK Apartment for Sale in EON Free Zone, Kharadi Pune",860 sqft,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingUnfurnished,,Bathroom2,₹70 Lac 
185,4 BHK Apartment for Sale in Kharadi Pune,1615 sqft,Under ConstructionPoss. by Apr '26,TransactionNew Property,FurnishingUnfurnished,,Bathroom4,₹2.70 Cr 
186,"2 BHK Apartment for Sale in Marvel Citrine, Kharadi Pune",1255 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyMarvel Citrine,Bathroom2,₹1.28 Cr 
187,"4 BHK Apartment for Sale in Marvel Zephyr, Kharadi Pune",1850 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyMarvel Zephyr,Bathroom5,₹2.90 Cr 
188,"4 BHK Apartment for Sale in Flamante By VTP Luxe Phase 1, Kharadi Pune",2450 sqft,Under ConstructionPoss. by Jun '27,TransactionNew Property,FurnishingSemi-Furnished,SocietyFlamante By VTP Luxe Phase 1,Bathroom4,₹2.25 Cr 
189,"3 BHK Apartment for Sale in Marvel Zephyr, Kharadi Pune",1750 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyMarvel Zephyr,Bathroom4,₹2.55 Cr 
190,"3 BHK Apartment for Sale in Ganga Platino, EON Free Zone, Kharadi Pune",1450 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyGanga Platino,Bathroom3,₹2.12 Cr 
191,"2 BHK Apartment for Sale in Unique Youtopia, EON Free Zone, Kharadi Pune",762 sqft,Under ConstructionPoss. by Dec '24,TransactionNew Property,FurnishingUnfurnished,SocietyUnique Youtopia,Bathroom2,₹85 Lac 
192,"3 BHK Apartment for Sale in Forest County, EON Free Zone, Kharadi Pune",1291 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyForest County,Bathroom3,₹2.25 Cr 
193,"2 BHK Apartment for Sale in Urban Soul, Kharadi Pune",800 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyUrban Soul,Bathroom2,₹90 Lac 
194,"4 BHK Apartment for Sale in Panchshil Towers, EON Free Zone, Kharadi Pune",2500 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyPanchshil Towers,Bathroom5,₹4.15 Cr 
195,"4 BHK Apartment for Sale in EON Free Zone, Kharadi Pune",3260 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,,Bathroom5,₹4.25 Cr 
196,"3 BHK Apartment for Sale in Panchshil Towers, Kharadi Pune",2200 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyPanchshil Towers,Bathroom4,₹3.22 Cr 
197,"4 BHK Apartment for Sale in Ganga Liviano, Kharadi Gaon, Kharadi Pune",2250 sqft,StatusReady to Move,TransactionResale,FurnishingFurnished,SocietyGanga Liviano,Bathroom5,₹3.15 Cr 
198,"2 BHK Apartment for Sale in EON Free Zone, Kharadi Pune",758 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,,Bathroom2,₹92 Lac 
199,"2 BHK Apartment for Sale in Gulmohar Queenstown, EON Free Zone, Kharadi Pune",850 sqft,StatusReady to Move,TransactionResale,FurnishingFurnished,SocietyGulmohar Queenstown,Bathroom2,₹1.05 Cr 
200,"4 BHK Apartment for Sale in Eon Waterfront, Kharadi Pune",3200 sqft,StatusReady to Move,TransactionNew Property,FurnishingSemi-Furnished,SocietyEon Waterfront,Bathroom4,₹4.50 Cr 
201,"3 BHK Apartment for Sale in Majestique Marbella, Kharadi Pune",1080 sqft,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingUnfurnished,SocietyMajestique Marbella,Bathroom3,₹1.26 Cr 
202,"2 BHK Apartment for Sale in Riverdale Grove, Kharadi Pune",736 sqft,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingSemi-Furnished,SocietyRiverdale Grove,Bathroom2,₹91 Lac 
203,"4 BHK Apartment for Sale in Eon Waterfront, EON Free Zone, Kharadi Pune",3350 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyEon Waterfront,Bathroom4,₹4.35 Cr 
204,"2 BHK Apartment for Sale in Zen Elite, EON Free Zone, Kharadi Pune",750 sqm,StatusReady to Move,TransactionNew Property,FurnishingUnfurnished,SocietyZen Elite,Bathroom2,₹88 Lac 
205,"4 BHK Apartment for Sale in Eon Waterfront, Kharadi Pune",3000 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyEon Waterfront,Bathroom5,₹4.50 Cr 
206,"3 BHK Apartment for Sale in Pashankar Yin Yang, Kharadi Pune",1210 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyPashankar Yin Yang,Bathroom2,₹1.30 Cr 
207,"2 BHK Apartment for Sale in Rakshak Nagar Gold, Kharadi Pune",600 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyRakshak Nagar Gold,Bathroom2,₹64 Lac 
208,"3 BHK Apartment for Sale in Gera World of Joy, Kharadi Pune",935 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyGera World of Joy,Bathroom3,₹1.40 Cr 
209,"5 BHK Apartment for Sale in Panchshil Towers, Kharadi Pune",4500 sqft,StatusReady to Move,TransactionNew Property,FurnishingUnfurnished,SocietyPanchshil Towers,Bathroom3,₹7.50 Cr 
210,"4 BHK Apartment for Sale in Eon Waterfront, Kharadi Pune",4088 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyEon Waterfront,Bathroom4,₹4.35 Cr 
211,"3 BHK Apartment for Sale in Gera Trinity Towers, EON Free Zone, Kharadi Pune",1450 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyGera Trinity Towers,Bathroom3,₹2.30 Cr 
212,"2 BHK Apartment for Sale in Mount N Glory, EON Free Zone, Kharadi Pune",850 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyMount N Glory,Bathroom2,₹85 Lac 
213,"3 BHK Apartment for Sale in Zen Estate, EON Free Zone, Kharadi Pune",1026 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyZen Estate,Bathroom3,₹1.35 Cr 
214,"3 BHK Apartment for Sale in Riverdale Residences, Kharadi Pune",1210 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyRiverdale Residences,Bathroom3,₹1.79 Cr 
215,"2 BHK Apartment for Sale in Gera Park View, EON Free Zone, Kharadi Pune",815 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyGera Park View,Bathroom2,₹90 Lac 
216,"3 BHK Apartment for Sale in Panchshil Towers, Kharadi Pune",2200 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyPanchshil Towers,Bathroom4,₹3.10 Cr 
217,"5 BHK Apartment for Sale in Eon Waterfront, EON Free Zone, Kharadi Pune",3600 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyEon Waterfront,Bathroom5,₹4.50 Cr 
218,"3 BHK Apartment for Sale in Forest County, Kharadi Pune",1550 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyForest County,Bathroom4,₹2.50 Cr 
219,"4 BHK Apartment for Sale in Eon Waterfront, Kharadi Pune",3200 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyEon Waterfront,Bathroom4,₹4.60 Cr 
220,"2 BHK Apartment for Sale in Nyati Elysia, Kharadi Pune",800 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyNyati Elysia,Bathroom2,₹1 Cr 
221,"4 BHK Apartment for Sale in Eon Waterfront, Kharadi Pune",2100 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyEon Waterfront,Bathroom4,₹2.60 Cr 
222,"2 BHK Apartment for Sale in Forest Edge, Kharadi Pune",794 sqft,StatusReady to Move,TransactionNew Property,FurnishingSemi-Furnished,SocietyForest Edge,Bathroom2,₹1 Cr 
223,"2 BHK Apartment for Sale in Forest County, Kharadi Pune",950 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyForest County,Bathroom2,₹1.45 Cr 
224,"2 BHK Apartment for Sale in Acolade, Kharadi Pune",900 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyAcolade,Bathroom2,₹95 Lac 
225,"3 BHK Apartment for Sale in Ganga Platino, Kharadi Pune",1400 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyGanga Platino,Bathroom3,₹1.82 Cr 
226,"2 BHK Apartment for Sale in Kolte Patil Langston Tuscan, Kharadi Pune",1150 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyKolte Patil Langston Tuscan,Bathroom2,₹1.05 Cr 
227,"3 BHK Apartment for Sale in Pashankar Yin Yang Wing A And C, Kharadi Pune",1034 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyPashankar Yin Yang Wing A And C,Bathroom2,₹1.15 Cr 
228,"2 BHK Apartment for Sale in Zen Estate, Kharadi Pune",740 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyZen Estate,Bathroom2,₹89 Lac 
229,"4 BHK Apartment for Sale in Marvel Zephyr, Kharadi Pune",4355 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyMarvel Zephyr,Bathroom4,₹3.80 Cr 
230,"3 BHK Apartment for Sale in Marvel Enigma, EON Free Zone, Kharadi Pune",2100 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyMarvel Enigma,Bathroom2,₹2.25 Cr 
231,"1 BHK Apartment for Sale in Spring Glory Co Operative Society, Kharadi Pune",550 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietySpring Glory Co Operative Society,Bathroom1,₹45 Lac 
